Season,Episode,Title,Year,Votes,Rating
10,10,Viva Ned Flanders,1999,1873,7.9
10,11,Wild Barts Can't Be Broken,1999,1753,7.8
10,12,Sunday Cruddy Sunday,1999,1816,7
10,13,Homer to the Max,1999,1812,7.8
10,14,I'm with Cupid,1999,1639,7.3
10,15,Marge Simpson in 'Screaming Yellow Honkers',1999,1654,7.3
10,16,Make Room for Lisa,1999,1644,7.5
10,17,Maximum Homerdrive,1999,1734,7.7
10,18,Simpsons Bible Stories,1999,1701,7.3
10,19,Mom and Pop Art,1999,1747,7.6
10,20,The Old Man and the 'C' Student,1999,1559,7.3
10,21,Monty Can't Buy Me Love,1999,1580,7.1
10,22,They Saved Lisa's Brain,1999,1592,7.3
10,23,Thirty Minutes Over Tokyo,1999,1934,8
11,1,Beyond Blunderdome,1999,1797,7.3
11,2,Brother's Little Helper,1999,1583,7.5
11,3,Guess Who's Coming to Criticize Dinner?,1999,1603,7.5
11,4,Treehouse of Horror X,1999,1850,7.8
11,5,E-I-E-I-(Annoyed Grunt),1999,1728,7.8
11,6,Hello Gutter Hello Fadder,1999,1498,7.3
11,7,Eight Misbehavin',1999,1504,7
11,8,Take My Wife Sleaze,1999,1544,7.1
11,9,Grift of the Magi,1999,1640,7.3
11,10,Little Big Mom,2000,1478,7.3
11,11,Faith Off,2000,1501,6.8
11,12,The Mansion Family,2000,1497,7.3
11,13,Saddlesore Galactica,2000,1675,6.4
11,14,Alone Again Natura-Diddly,2000,2056,7.7
11,15,Missionary: Impossible,2000,1569,7.3
11,16,Pygmoelian,2000,1498,7.3
11,17,Bart to the Future,2000,1655,7.1
11,18,Days of Wine and D'oh'ses,2000,1472,7.4
11,19,Kill the Alligator and Run,2000,1629,6.5
11,20,Last Tap Dance in Springfield,2000,1473,7.1
11,21,It's a Mad Mad Mad Mad Marge,2000,1496,7.1
11,22,Behind the Laughter,2000,1866,7.9
12,1,Treehouse of Horror XI,2000,1766,7.6
12,2,A Tale of Two Springfields,2000,1636,7.4
12,3,Insane Clown Poppy,2000,1494,6.9
12,4,Lisa the Treehugger,2000,1500,7.2
12,5,Homer vs. Dignity,2000,1565,7
12,6,The Computer Wore Menace Shoes,2000,1638,7.7
12,7,The Great Money Caper,2000,1518,7.3
12,8,Skinner's Sense of Snow,2000,2045,7.9
12,9,Homr,2001,1853,8.1
12,10,Pokey Mom,2001,1743,7.2
12,11,Worst Episode Ever,2001,1557,7.4
12,12,Tennis the Menace,2001,1521,6.8
12,13,Day of the Jackanapes,2001,1388,7.2
12,14,New Kids on the Blecch,2001,1651,7.2
12,15,Hungry Hungry Homer,2001,1513,7.5
12,16,Bye Bye Nerdy,2001,1456,6.6
12,17,Simpson Safari,2001,1493,6.8
12,18,Trilogy of Error,2001,2257,8.6
12,19,I'm Goin' to Praiseland,2001,1680,7.2
12,20,Children of a Lesser Clod,2001,1364,7.2
12,21,Simpsons Tall Tales,2001,1425,6.9
13,1,Treehouse of Horror XII,2001,1737,7.6
13,2,The Parent Rap,2001,1418,7.1
13,3,Homer the Moe,2001,1395,7.1
13,4,A Hunka Hunka Burns in Love,2001,1350,7
13,5,The Blunder Years,2001,1730,7.6
13,6,She of Little Faith,2001,1472,7.1
13,7,Brawl in the Family,2002,1341,6.8
13,8,Sweets and Sour Marge,2002,1333,6.9
13,9,Jaws Wired Shut,2002,1367,7.3
13,10,Half-Decent Proposal,2002,1641,7.3
13,11,The Bart Wants What It Wants,2002,1295,7
13,12,The Lastest Gun in the West,2002,1334,6.4
13,13,The Old Man and the Key,2002,1279,6.4
13,14,Tales from the Public Domain,2002,1311,7.2
13,15,Blame It on Lisa,2002,1374,7
13,16,Weekend at Burnsie's,2002,1529,7.7
13,17,Gump Roast,2002,1444,5.4
13,18,I Am Furious Yellow,2002,1456,7.7
13,19,The Sweetest Apu,2002,1248,6.7
13,20,Little Girl in the Big Ten,2002,1276,7.1
13,21,The Frying Game,2002,1305,6.9
13,22,Papa's Got a Brand New Badge,2002,1808,7.8
14,1,Treehouse of Horror XIII,2002,1608,7.7
14,2,How I Spent My Strummer Vacation,2002,1453,7.3
14,3,Bart vs. Lisa vs. 3rd Grade,2002,1363,7.1
14,4,Large Marge,2002,1397,7
14,5,Helter Shelter,2002,1329,6.7
14,6,The Great Louse Detective,2002,1362,7.3
14,7,Special Edna,2003,1337,7
14,8,The Dad Who Knew Too Little,2003,1302,7.3
14,9,The Strong Arms of the Ma,2003,1370,6.7
14,10,Pray Anything,2003,1248,6.7
14,11,Barting Over,2003,1346,6.6
14,12,I'm Spelling as Fast as I Can,2003,1272,7.2
14,13,A Star Is Born Again,2003,1274,6.9
14,14,Mr. Spritz Goes to Washington,2003,1227,6.8
14,15,C.E.D'oh,2003,1162,7.1
14,16,'Scuse Me While I Miss the Sky,2003,1183,7.1
14,17,Three Gays of the Condo,2003,1311,7.1
14,18,Dude Where's My Ranch?,2003,1337,6.9
14,19,Old Yeller-Belly,2003,1230,6.6
14,20,Brake My Wife Please,2003,1201,6.7
14,21,The Bart of War,2003,1245,6.6
14,22,Moe Baby Blues,2003,1767,7.7
15,1,Treehouse of Horror XIV,2003,1584,7.5
15,2,My Mother the Carjacker,2003,1297,7.3
15,3,The President Wore Pearls,2003,1341,6.9
15,4,The Regina Monologues,2003,1399,7
15,5,The Fat and the Furriest,2003,1248,7.1
15,6,Today I Am a Clown,2003,1208,6.4
15,7,'Tis the Fifteenth Season,2003,1251,7.1
15,8,Marge vs. Singles Seniors Childless Couples and Teens and Gays,2004,1227,6.6
15,9,I (Annoyed Grunt)-Bot,2004,1298,7.3
15,10,Diatribe of a Mad Housewife,2004,1254,7.2
15,11,Margical History Tour,2004,1230,7.1
15,12,Milhouse Doesn't Live Here Anymore,2004,1239,7.2
15,13,Smart & Smarter,2004,1258,7.1
15,14,The Ziff Who Came to Dinner,2004,1201,6.7
15,15,Co-Dependent's Day,2004,1208,6.6
15,16,The Wandering Juvie,2004,1265,7
15,17,My Big Fat Geek Wedding,2004,1239,6.5
15,18,Catch 'Em If You Can,2004,1274,7
15,19,Simple Simpson,2004,1287,7.4
15,20,The Way We Weren't,2004,1258,7.3
15,21,Bart-Mangled Banner,2004,1246,6.2
15,22,Fraudcast News,2004,1178,7.3
16,1,Treehouse of Horror XV,2004,1473,7.4
16,2,All's Fair in Oven War,2004,1210,6.8
16,3,Sleeping with the Enemy,2004,1242,7.2
16,4,She Used to Be My Girl,2004,1205,6.4
16,5,Fat Man and Little Boy,2004,1150,7
16,6,Midnight Rx,2005,1170,7.1
16,7,Mommie Beerest,2005,1127,6.8
16,8,Homer and Ned's Hail Mary Pass,2005,1193,6.1
16,9,Pranksta Rap,2005,1241,6.5
16,10,There's Something About Marrying,2005,1229,6.8
16,11,On a Clear Day I Can't See My Sister,2005,1234,6.6
16,12,Goo Goo Gai Pan,2005,1220,6.9
16,13,Mobile Homer,2005,1150,6.7
16,14,The Seven-Beer Snitch,2005,1134,6.7
16,15,Future-Drama,2005,1289,7.3
16,16,Don't Fear the Roofer,2005,1360,7.5
16,17,The Heartbroke Kid,2005,1209,7.2
16,18,A Star Is Torn,2005,1175,6.6
16,19,Thank God It's Doomsday,2005,1200,7.2
16,20,Home Away from Homer,2005,1148,7
16,21,The Father the Son and the Holy Guest Star,2005,1276,7.2
17,1,The Bonfire of the Manatees,2005,1269,6.1
17,2,The Girl Who Slept Too Little,2005,1233,6.8
17,3,Milhouse of Sand and Fog,2005,1160,6.9
17,4,Treehouse of Horror XVI,2005,1399,7.3
17,5,Marge's Son Poisoning,2005,1198,6.9
17,6,See Homer Run,2005,1164,6.8
17,7,The Last of the Red Hat Mamas,2005,1186,6.6
17,8,The Italian Bob,2005,1405,7
17,9,Simpsons Christmas Stories,2005,1179,6.8
17,10,Homer's Paternity Coot,2006,1187,6.6
17,11,We're on the Road to D'ohwhere,2006,1141,6.9
17,12,My Fair Laddy,2006,1185,6.4
17,13,The Seemingly Never-Ending Story,2006,1379,7.6
17,14,Bart Has Two Mommies,2006,1171,7
17,15,Homer Simpson This Is Your Wife,2006,1495,6.4
17,16,Million Dollar Abie,2006,1240,6.2
17,17,Kiss Kiss Bang Bangalore,2006,1295,7.2
17,18,The Wettest Stories Ever Told,2006,1162,6.7
17,19,Girls Just Want to Have Sums,2006,1261,7.1
17,20,Regarding Margie,2006,1190,6.6
17,21,The Monkey Suit,2006,1223,7.1
17,22,Homer and Marge Turn a Couple Play,2006,1204,6.3
18,1,The Mook the Chef the Wife and Her Homer,2006,1482,7.5
18,2,Jazzy & The Pussycats,2006,1365,6.6
18,3,Please Homer Don't Hammer 'Em,2006,1273,6.7
18,4,Treehouse of Horror XVII,2006,1467,6.8
18,5,G.I. (Annoyed Grunt),2006,1287,6.7
18,6,Moe'N'a Lisa,2006,1234,6.7
18,7,Ice Cream of Margie (with the Light Blue Hair),2006,1228,6.9
18,8,The Haw-Hawed Couple,2006,1204,7.1
18,9,Kill Gil Vol. 1 & 2,2006,1277,6.1
18,10,The Wife Aquatic,2007,1233,6.5
18,11,Revenge Is a Dish Best Served Three Times,2007,1196,7
18,12,Little Big Girl,2007,1302,6.7
18,13,Springfield Up,2007,1264,7.3
18,14,Yokel Chords,2007,1245,6.8
18,15,Rome-old and Juli-eh,2007,1184,6.2
18,16,Homerazzi,2007,1220,7.1
18,17,Marge Gamer,2007,1354,7.2
18,18,The Boys of Bummer,2007,1265,5.8
18,19,Crook and Ladder,2007,1129,6.9
18,20,Stop or My Dog Will Shoot,2007,1143,6.8
18,21,24 Minutes,2007,2101,8.1
18,22,You Kent Always Say What You Want,2007,1318,7.2
19,1,He Loves to Fly and He D'ohs,2007,1313,6.6
19,2,Homer of Seville,2007,1297,6.5
19,3,Midnight Towboy,2007,1226,7.1
19,4,I Don't Wanna Know Why the Caged Bird Sings,2007,1208,6.7
19,5,Treehouse of Horror XVIII,2007,1338,7
19,6,Little Orphan Millie,2007,1164,6.6
19,7,Husbands and Knives,2007,1310,6.9
19,8,Funeral for a Fiend,2007,1300,7.1
19,9,Eternal Moonshine of the Simpson Mind,2007,1849,8.2
19,10,E Pluribus Wiggum,2008,1211,6.8
19,11,That '90s Show,2008,1757,6.2
19,12,Love Springfieldian Style,2008,1241,6.5
19,13,The DeBarted,2008,1521,7.6
19,14,Dial 'N' for Nerder,2008,1259,7.4
19,15,Smoke on the Daughter,2008,1179,6.6
19,16,Papa Don't Leech,2008,1117,5.9
19,17,Apocalypse Cow,2008,1191,6.8
19,18,Any Given Sundance,2008,1196,7.1
19,19,Mona Leaves-a,2008,1210,7
19,20,All About Lisa,2008,1082,6.3
20,1,Sex Pies and Idiot Scrapes,2008,1442,7.3
20,2,Lost Verizon,2008,1306,6.8
20,3,Double Double Boy in Trouble,2008,1247,6.8
20,4,Treehouse of Horror XIX,2008,1459,7.1
20,5,Dangerous Curves,2008,1189,6.6
20,6,Homer and Lisa Exchange Cross Words,2008,1181,7.1
20,7,MyPods and Boomsticks,2008,1343,7.1
20,8,The Burns and the Bees,2008,1198,6.5
20,9,Lisa the Drama Queen,2009,1303,5.9
20,10,Take My Life Please,2009,1134,6.9
20,11,How the Test Was Won,2009,1147,7
20,12,No Loan Again Naturally,2009,1129,6.7
20,13,Gone Maggie Gone,2009,1278,7.2
20,14,In the Name of the Grandfather,2009,1164,6.3
20,15,Wedding for Disaster,2009,1101,6.6
20,16,Eeny Teeny Maya Moe,2009,1177,7.2
20,17,The Good the Sad and the Drugly,2009,1193,7.2
20,18,Father Knows Worst,2009,1111,6.9
20,19,Waverly Hills 9021-D'Oh,2009,1210,7.1
20,20,Four Great Women and a Manicure,2009,1118,6.4
20,21,Coming to Homerica,2009,1242,7.3
21,1,Homer the Whopper,2009,1326,7.1
21,2,Bart Gets a 'Z',2009,1198,6.6
21,3,The Great Wife Hope,2009,1065,6.2
21,4,Treehouse of Horror XX,2009,1347,7.3
21,5,The Devil Wears Nada,2009,1089,6.6
21,6,Pranks and Greens,2009,1077,6.6
21,7,Rednecks and Broomsticks,2009,1056,6.7
21,8,Oh Brother Where Bart Thou?,2009,1108,7.1
21,9,Thursdays with Abie,2010,998,6.6
21,10,Once Upon a Time in Springfield,2010,1065,6.5
21,11,Million Dollar Maybe,2010,1036,7.1
21,12,Boy Meets Curl,2010,1089,6.8
21,13,The Color Yellow,2010,1069,6.4
21,14,Postcards from the Wedge,2010,976,6.9
21,15,Stealing First Base,2010,1100,7
21,16,The Greatest Story Ever D'ohed,2010,1292,5.6
21,17,American History X-cellent,2010,1009,6.6
21,18,Chief of Hearts,2010,986,6.9
21,19,The Squirt and the Whale,2010,1023,6.8
21,20,To Surveil with Love,2010,1055,7.2
21,21,Moe Letter Blues,2010,1012,6.9
21,22,The Bob Next Door,2010,1123,7.3
21,23,Judge Me Tender,2010,1053,6.4
22,1,Elementary School Musical,2010,1241,6.1
22,2,Loan-a Lisa,2010,1019,6.7
22,3,MoneyBart,2010,1077,6.7
22,4,Treehouse of Horror XXI,2010,1294,7.1
22,5,Lisa Simpson This Isn't Your Life,2010,1020,7.1
22,6,The Fool Monty,2010,980,6.3
22,7,How Munched Is That Birdie in the Window?,2010,991,6.3
22,8,The Fight Before Christmas,2010,1083,6.7
22,9,Donnie Fatso,2010,1053,7
22,10,Moms I'd Like to Forget,2011,940,6.2
22,11,Flaming Moe,2011,1034,6.6
22,12,Homer the Father,2011,963,6.9
22,13,The Blue and the Gray,2011,970,6.7
22,14,Angry Dad: The Movie,2011,1136,7.2
22,15,The Scorpion's Tale,2011,1032,6.6
22,16,A Midsummer's Nice Dreams,2011,969,5.9
22,17,Love Is a Many Strangled Thing,2011,998,6
22,18,The Great Simpsina,2011,997,6.8
22,19,The Real Housewives of Fat Tony,2011,1015,6.5
22,20,Homer Scissorhands,2011,1000,7.1
22,21,500 Keys,2011,1065,7.2
22,22,The Ned-Liest Catch,2011,1073,6.9
23,1,The Falcon and the D'Ohman,2011,1258,7.1
23,2,Bart Stops to Smell the Roosevelts,2011,1114,7
23,3,Treehouse of Horror XXII,2011,1300,6.4
23,4,Replaceable You,2011,993,6.4
23,5,The Food Wife,2011,1094,7.1
23,6,The Book Job,2011,1470,7.9
23,7,The Man in the Blue Flannel Pants,2011,975,6.6
